nct_id,ticker,phase_clean,category_clean,results_posted,baseline_car,baseline_raw,category_refined
NCT03685591,PFE,Phase 1,Business Termination,2024-06-26,0.0106916892715976,0.0086517263976582,Business Termination
NCT01743989,NVS,Phase 3,Success,2021-07-15,-0.0243030646461544,-0.0253818708781362,Success
NCT04517864,PFE,Phase 2,Business Termination,2022-12-28,-0.0027723176839871,-0.0077458524147607,Business Termination
NCT04887064,AMGN,Phase 1,Success,2024-04-19,0.0303439024015664,0.0297395983649979,Success
NCT03759392,CYTK,Phase 3,Success,2023-03-07,-0.0266317963676544,-0.0691918679128268,Success
NCT02540330,ATOS,Phase 2,Business Termination,2022-04-05,-0.0814186602572747,-0.0559999593098958,Business Termination
NCT03730961,BMY,Phase 2,Success,2021-01-26,-0.0320473077731382,-0.0294484538563796,Success
NCT04725240,RYTM,Phase 2,Success,2023-09-21,-0.0367047295538372,-0.0713121407788013,Success
NCT03859427,AMGN,Phase 3,Success,2024-04-18,0.0296731125509894,0.024104720238729,Success
NCT04102579,NBIX,Phase 3,Success,2023-10-11,-0.0051060272950404,-0.0095673129497534,Success
NCT03905330,MIRM,Phase 3,Success,2023-12-11,0.0087167668091689,0.0740974746957707,Success
NCT03762265,SNY,Phase 3,Business Termination,2022-09-21,-0.0418541660337609,-0.0592846492052896,Failure
NCT05438602,PFE,Phase 2,Success,2024-09-23,-0.0210857063634827,-0.0275628611688055,Success
NCT03756129,NVS,Phase 2,Success,2021-05-19,-0.0097961296217789,-0.0095547309833022,Success
NCT03304054,CPRX,Phase 3,Success,2021-08-13,-0.0436138357743832,-0.0387205415585655,Success
NCT03777436,AMGN,Phase 3,Success,2022-12-15,-0.0383962153471014,-0.040031783920557,Success
NCT01737827,NVS,Phase 2,Business Termination,2024-09-24,-0.0044362090351378,-0.0031902740407224,Business Termination (feasibility)
NCT03968159,ACAD,Phase 3,Success,2021-11-17,-0.0387190971482686,-0.0726392265234704,Success
NCT05061693,INCY,Phase 2,Success,2024-08-27,0.0418160751868212,0.0458585081458799,Success
NCT02691182,SUPN,Phase 3,Failure,2024-05-16,-0.0491333625261667,-0.0306603719021328,Failure
NCT04707469,NVO,Phase 3,Success,2024-04-03,-0.0293048763554163,-0.0197819396383526,Success
NCT02725593,AZN,Phase 3,Success,2020-12-02,0.0106597320231608,0.0214787117896757,Success
NCT03459443,LXRX,Phase 2,Business Termination,2022-08-11,0.2919980246009109,0.3294574295297496,Failure
NCT03832114,NVS,Phase 2,Success,2022-07-08,-0.0151520419242838,-0.0040341562192004,Success
NCT02680574,AKBA,Phase 3,Success,2022-06-27,0.0414361897330734,0.0674156983563019,Success
NCT04164732,NVS,Phase 2,Success,2024-08-29,-0.0045105161871853,-0.0054553337067629,Success
NCT03315143,LXRX,Phase 3,Business Termination,2022-10-28,0.0041648103822525,0.0622010142486477,Business Termination
NCT03775200,CMPS,Phase 2,Success,2023-04-24,-0.1130361439751444,-0.1646216462817964,Success
NCT02980731,ABBV,Phase 3,Success,2023-02-22,0.023210854258881,0.0212664897001157,Success
NCT04124926,PHAT,Phase 3,Success,2022-07-29,-0.32630017851122,-0.331262925446361,Success
NCT02929329,CYTK,Phase 3,Success,2021-07-20,0.4897989959647575,0.5579710588470368,Success
NCT04074590,NVS,Phase 2,Business Termination,2023-11-09,0.009578582837925,0.0068485558881572,Business Termination
NCT03322540,INCY,Phase 2,Success,2020-02-05,-0.0369167497206722,0.0146434884260717,Success
NCT04962230,PFE,Phase 1,Success,2023-10-10,-0.000851714527163,-0.0164326647097371,Success
NCT02201108,SNY,Phase 3,Success,2020-11-30,0.0012553553863542,0.0140224851852388,Success
NCT00490139,NVS,Phase 3,Success,2014-08-18,0.0144796138190253,0.0222680173410869,Success
NCT03345849,ABBV,Phase 3,Success,2022-11-23,0.0282538832993798,0.0222609950124057,Success
NCT03682705,ABBV,Phase 2,Success,2021-05-03,0.0443021516676993,0.0343964730268793,Success
NCT02755597,ABBV,Phase 3,Success,2023-08-22,-0.0197527444129621,-0.0225970277922528,Success
NCT04016779,SUPN,Phase 3,Success,2022-07-12,-0.0382409897279949,-0.0438392450370929,Success
NCT01945775,PFE,Phase 3,Success,2018-10-03,0.0247852606120511,0.0190606045472248,Success
NCT03559699,AGIO,Phase 3,Success,2021-12-10,0.0336480608422638,-0.0140715541081981,Success
NCT01506609,ABBV,Phase 2,Success,2021-10-25,-0.0014959724842278,-9.215525680628112e-05,Success
NCT03689374,NVO,Phase 3,Success,2022-05-04,-0.0224268103081889,-0.0232456171254168,Success
NCT04268823,NVS,Phase 2,Business Termination,2023-10-04,-0.0561258378978649,-0.0463380581828183,Business Termination
NCT04788511,NVO,Phase 3,Success,2024-06-11,-0.0098648866814867,0.0006319873355051,Success
NCT03502616,PFE,Phase 3,Success,2021-01-11,-0.0121273314084763,-0.0002710981837377,Success
NCT00585195,PFE,Phase 1,Success,2021-10-14,-0.0302250695398028,-0.0175937514843697,Success
NCT03213457,ABBV,Phase 3,Success,2021-04-20,0.0212852143554536,0.0295631202246988,Success
NCT04375397,ABBV,Phase 2,Success,2022-06-01,-0.0394396468112379,-0.0225809427531439,Success
NCT04598269,ACRS,Phase 2,Success,2023-09-28,0.0203372658366017,-0.010670757968287,Success
NCT04017832,NVO,Phase 3,Success,2023-09-29,-0.0484700499245764,-0.0436867583767177,Success
NCT03486457,PFE,Phase 3,Success,2024-02-08,0.0454640989797635,0.0410236482827992,Success
NCT04143594,GILD,Phase 2,Success,2022-12-19,-0.0429630331064733,-0.035407463014352,Success
NCT05047601,PFE,Phase 2/3,Success,2023-05-06,-0.0168579174990866,-0.0039012499579242,Success
NCT03718533,NVS,Phase 2,Business Termination,2024-02-05,-0.0004333290507207,-9.667155422354856e-05,Business Termination (feasibility)
NCT04683939,BNTX,Phase 1/2,Business Termination,2024-10-02,0.0426521395084754,0.0377262649164276,Business Termination
NCT05266586,NAMS,Phase 2,Success,2024-07-03,0.0067395320319736,0.0411244639863568,Success
NCT03019185,BIIB,Phase 2/3,Success,2023-10-11,0.0087126141514021,-0.0037606466642926,Success
NCT01460160,BMY,Phase 2,Success,2018-08-21,-0.0220710229480904,-0.0166914468366077,Success
NCT04217590,AZN,Phase 3,Success,2023-03-28,0.0233305260538339,0.0288434703167106,Success
NCT03382639,NBIX,Phase 2,Success,2024-02-28,-0.0631276163526222,-0.02146362931307,Success
NCT03287960,RYTM,Phase 3,Success,2023-05-23,0.0192178919078763,-0.0030302567915482,Success
NCT03434353,GILD,Phase 2,Business Termination,2022-04-04,0.019187012456637,0.0194434001877132,Business Termination
NCT01920061,PFE,Phase 1,Success,2021-10-07,-0.0244841552374876,-0.0084867354240281,Success
NCT03624127,BMY,Phase 3,Success,2023-01-30,-0.0280417681504047,-0.0265138370953831,Success
NCT04853368,ABBV,Phase 2,Business Termination,2024-07-16,0.014648345582926,0.0164918248648384,Business Termination
NCT01524783,NVS,Phase 3,Success,2016-12-28,0.0212746540261429,0.0149087700422907,Success
NCT04439071,PTCT,Phase 2/3,Business Termination,2023-06-26,-0.0259518146507759,-0.0362285490835736,Business Termination
NCT03237325,SNGX,Phase 3,Success,2022-08-29,-0.0520000930779351,-0.0602409647783173,Success
NCT02108964,NVS,Phase 1/2,Success,2020-10-26,-0.0741791448566496,-0.0686950366579604,Success
NCT02606461,KPTI,Phase 2/3,Success,2021-12-07,-0.0698536948665151,-0.1126373238654314,Success
NCT02464228,KURA,Phase 2,Success,2024-06-26,-0.0525970252945857,-0.0167144399495344,Success
NCT03548987,NVO,Phase 3,Success,2021-03-15,-0.011034397763632,0.000697227585088,Success
NCT03427125,ARDX,Phase 3,Success,2023-06-29,-0.0565529344344401,-0.0265487167559939,Success
NCT04186871,BMY,Phase 2,Success,2024-01-16,0.0101341959246138,-0.0112514235379777,Success
NCT04753606,NAMS,Phase 2,Success,2024-06-11,-0.0450084315844183,-0.0081632573621465,Success
NCT03611582,NVO,Phase 3,Success,2021-07-09,0.0137253674993087,0.0189299606037758,Success
NCT03796676,PFE,Phase 3,Success,2021-06-04,4.085425027507226e-05,0.0090903772074457,Success
NCT03877224,AZN,Phase 3,Success,2021-11-17,-0.0432189584842335,-0.0363945475355276,Success
NCT01593254,BMY,Phase 2,Success,2019-04-11,0.0180097926745613,-0.0061977529682488,Success
NCT02697734,NVS,Phase 3,Success,2021-10-19,0.0240470001745022,0.0250603952842116,Success
NCT02819635,ABBV,Phase 2/3,Success,2022-06-30,-0.0100760188412901,0.0051585607986492,Success
NCT04680975,SNY,Phase 2,Business Termination,2023-06-05,-0.0179672639397145,-0.0027440229961189,Business Termination (feasibility)
NCT04072887,NVS,Phase 2,Success,2023-04-28,-0.0085318172708503,-0.0048057949343127,Success
NCT03985293,PFE,Phase 2,Success,2022-06-30,-0.0052720297456607,-0.0046261164575133,Success
NCT03373461,NVS,Phase 2,Success,2022-10-07,-0.0227938795844601,-0.0302954403103702,Success
NCT03829657,TBPH,Phase 3,Business Termination,2023-01-20,-0.0537649617168392,-0.0393356491058596,Excluded (ambiguous)
NCT03523728,SNY,Phase 2/3,Failure,2022-11-09,-0.0199866174947308,-0.0187987617416021,Failure
NCT04682639,PFE,Phase 2,Success,2023-10-26,-0.0015473212479526,-0.0094033185581399,Success
NCT04492722,AZN,Phase 2,Business Termination,2023-12-26,-0.0014796143395726,0.0231074364804579,Failure
NCT02307513,AMGN,Phase 3,Success,2019-09-11,-0.0763257397688496,-0.0590190650130661,Success
NCT05418673,BIIB,Phase 3,Business Termination,2024-06-26,0.037837654234344,0.0349107469831193,Business Termination
NCT04633187,ENTA,Phase 2,Business Termination,2024-08-22,0.0367861806242643,0.053048303263899,Business Termination
NCT03990363,AZN,Phase 2,Success,2023-03-02,-0.0360284004782371,-0.033533023183205,Success
NCT04727528,AZN,Phase 3,Business Termination,2023-10-06,0.017608909325876,0.026411292659896,Business Termination (feasibility)
NCT04399538,PFE,Phase 2,Success,2023-04-13,-0.0325468287877126,-0.0131800503276552,Success
NCT02184195,AZN,Phase 3,Success,2020-01-27,-0.017897344562841,-0.015659239255889,Success
NCT04501952,GILD,Phase 3,Business Termination,2021-11-16,0.0059305128417476,0.0053389942734072,Business Termination (feasibility)
NCT03934216,BMY,Phase 2,Success,2022-07-06,-0.0421176454537889,-0.0210391304132575,Success
NCT04639310,XENE,Phase 3,Business Termination,2024-08-23,0.0407933640477282,0.0359403200194179,Business Termination
NCT04362137,NVS,Phase 3,Success,2021-06-02,0.012797258551517,0.01491845011072,Success
NCT03341962,IMUX,Phase 2,Failure,2024-03-05,0.0205919507376468,-0.0034129172943663,Failure
NCT03374488,INCY,Phase 3,Failure,2019-08-28,-0.0097656229329687,-0.001098815324883,Failure
NCT02163694,ABBV,Phase 3,Success,2022-04-04,0.0221816064014106,0.031511307916302,Success
NCT03512353,AMGN,Phase 2,Business Termination,2021-01-08,0.0108047355120503,0.0387691825938856,Business Termination
NCT03890120,GILD,Phase 3,Failure,2023-11-29,0.0220739708308095,0.0301142370591274,Failure
NCT04467840,RDHL,Phase 2/3,Success,2023-10-19,0.5413912504358793,0.3665894109310639,Success
NCT01610336,NVS,Phase 2,Success,2021-04-08,0.0140768674023552,0.0008020271637154,Success
NCT01940471,GILD,Phase 3,Success,2017-03-30,0.0091466968943033,-0.0059256664648271,Success
NCT00915681,VTRS,Phase 2,Business Termination,2022-04-07,0.0028585129772014,-0.0138248969903511,Business Termination
NCT04327024,AZN,Phase 2,Success,2023-06-29,-0.0969131420806808,-0.0903387352667359,Success
NCT03286842,AZN,Phase 3,Success,2023-01-17,-0.002991829994843,0.0005676835886276,Success
NCT04508621,TNXP,Phase 3,Success,2022-12-02,0.0700160249378187,-1.1102230246251563e-16,Success
NCT04529499,RDY,Phase 3,Failure,2022-03-21,0.0108154475217871,0.0164247024822004,Failure
NCT03178487,ABBV,Phase 2,Success,2021-06-01,-0.0325489136797079,-0.0217085280052801,Success
NCT04476043,INCY,Phase 2,Success,2023-01-26,-0.0008771421406976,0.0020363938920611,Success
NCT04530344,INCY,Phase 3,Success,2023-07-19,0.0491291021657202,0.0386982394640449,Success
NCT01924533,AZN,Phase 3,Success,2018-11-07,0.0883128692865512,0.0824307101177879,Success
NCT04962022,PFE,Phase 1,Success,2023-07-13,0.0121018253466725,0.005044658834338,Success
NCT03852719,GILD,Phase 3,Success,2022-10-28,0.1265222919904816,0.1399424841100203,Success
NCT03548935,NVO,Phase 3,Success,2021-08-11,0.0282220138076483,0.032971375988315,Success
NCT02219490,ABBV,Phase 3,Success,2023-04-07,0.0086172479655995,0.0161473681567101,Success
NCT02470585,ABBV,Phase 3,Business Termination,2020-09-14,-0.0725940441339388,-0.020189927678369,Business Termination
NCT03573297,ABBV,Phase 3,Success,2023-09-28,-0.0420985089278576,-0.04138371232689,Success
NCT01665144,NVS,Phase 3,Success,2018-10-31,0.0091624079838299,0.0223940345442514,Success
NCT04816214,NVS,Phase 3,Business Termination,2023-10-30,-0.0252870941144108,-0.0122602097546957,Business Termination
NCT03551626,NVS,Phase 3,Success,2024-03-18,-0.0277362407702878,-0.0297979961044885,Success
NCT03980730,VTVT,Phase 2,Business Termination,2022-01-21,-0.03636223837464,-0.0834326886123902,Business Termination
NCT04469465,LXRX,Phase 3,Success,2023-07-24,-0.0790328833932289,-0.1100917441226267,Success
NCT03538041,INCY,Phase 2,Success,2022-09-22,-0.011385006644869,-0.0382211502213534,Success
NCT02264990,ABBV,Phase 3,Success,2021-02-26,0.0191542939424325,0.0148679663234099,Success
NCT03611751,BMY,Phase 3,Success,2022-12-20,-0.0205573499020722,-0.0155997723290427,Success
NCT02706873,ABBV,Phase 3,Success,2019-10-04,0.0057942544388266,0.0040966617050455,Success
NCT03403205,LXRX,Phase 3,Business Termination,2023-10-10,0.0919801948827885,-0.0095238008737018,Business Termination
NCT05162066,BCRX,Phase 2,Business Termination,2024-05-02,0.1694376020213352,0.234192038516829,Business Termination
NCT03810183,NVS,Phase 2,Business Termination,2021-01-25,-0.0356348979861799,-0.0414774884785028,Business Termination
NCT03312738,NVS,Phase 2,Success,2024-01-23,-0.0111567986141747,-0.0096270353177468,Success
NCT04556760,AZN,Phase 2,Success,2024-07-18,0.0059281710344325,0.0133130494858879,Success
NCT02167945,ABBV,Phase 3,Success,2022-04-06,0.0647035891089673,0.0754859079739524,Success
NCT04745351,GILD,Phase 3,Business Termination,2023-05-12,-0.01450258271286,-0.0060913579620883,Business Termination (feasibility)
NCT03951077,ABBV,Phase 2,Success,2022-06-08,-0.0411455800146284,-0.0269755171644173,Success
NCT02369653,BMY,Phase 3,Success,2022-03-08,-0.0091097768357937,-0.0099838401978075,Success
NCT03877237,AZN,Phase 3,Success,2021-05-05,0.0287710759321685,0.0139439084501473,Success
NCT03619213,AZN,Phase 3,Success,2023-07-11,0.0303451118376048,0.0351627551415738,Success
NCT05099640,PTCT,Phase 3,Success,2024-01-10,-0.019468020208864,-0.0204300968680173,Success
NCT04842747,VERU,Phase 3,Success,2023-04-18,0.2028015985875688,0.142857142857143,Success
NCT02675426,ABBV,Phase 3,Success,2019-10-07,0.0218162482115648,0.0162209313427499,Success
NCT02884206,NVS,Phase 3,Success,2024-08-06,-0.0102552419082456,-0.0096343332284914,Success
NCT02742090,TGTX,Phase 2,Business Termination,2024-07-03,0.0837216612894062,0.0989318848205933,Business Termination
NCT03650400,NVS,Phase 2,Business Termination,2020-07-20,-0.0116963490363012,-0.0155911609032765,Business Termination
NCT05470387,PALI,Phase 3,Business Termination,2024-06-13,0.0359877533198617,0.0151843151403241,Business Termination
NCT03335371,VTVT,Phase 1/2,Success,2023-07-03,-0.0455727444241822,-0.0456375415376382,Success
NCT04349072,BMY,Phase 3,Success,2023-03-07,-0.0336549141971501,-0.0387339448427355,Success
NCT04000009,ACAD,Phase 3,Business Termination,2022-04-05,0.049260985791081,0.1172584737036699,Business Termination
NCT01682083,NVS,Phase 3,Success,2018-09-26,0.0072209752728741,0.0081910248981302,Success
NCT04799158,PHAT,Phase 2,Success,2023-01-04,-0.3638970672402604,-0.3327418211641562,Success
NCT03601637,VRTX,Phase 3,Success,2023-01-06,-0.0052033789035304,0.0095448258555022,Success
NCT02648347,AKBA,Phase 3,Success,2022-06-27,0.0414362348613281,0.0674156983563019,Success
NCT03693430,NVO,Phase 3,Success,2022-03-23,-0.0340603357520942,-0.0353257185511328,Success
NCT04913610,ABBV,Phase 2,Business Termination,2024-09-19,-0.0100574781157297,-0.0097070372527569,Business Termination
NCT03524612,NVS,Phase 2,Success,2023-12-27,0.021767845710697,0.0292558943148868,Success
NCT03818256,CORT,Phase 2,Success,2024-09-19,0.1129109325796901,0.116454364441906,Success
NCT04109547,NVO,Phase 3,Success,2023-09-14,-0.0668204391291947,-0.0647990798060095,Success
NCT04106557,OVID,Phase 3,Failure,2024-01-08,-0.0631890976971463,-0.0221519524557151,Failure
NCT04323124,PFE,Phase 1,Business Termination,2024-09-19,-0.0230267613840198,-0.0252743981232266,Failure
NCT04396756,PLRX,Phase 2,Success,2024-04-30,0.0320941690742005,0.1153198545759064,Success
NCT01972217,AZN,Phase 2,Success,2018-10-02,0.0007008583853187,-0.0052871900790617,Success
NCT03771664,BIIB,Phase 3,Business Termination,2022-10-20,0.0316067821040339,0.0188091543454749,Business Termination
NCT03112603,INCY,Phase 3,Success,2022-04-15,-0.0138154127537053,-0.0169851456917076,Success
NCT03822117,INCY,Phase 2,Business Termination,2023-03-15,0.0130184275565867,0.0223580136451839,Business Termination
NCT03738215,ABBV,Phase 3,Success,2022-10-25,0.0696422284885792,0.0739523778986583,Success
NCT04292899,GILD,Phase 3,Success,2020-12-31,0.0791942302867602,0.0546667296105121,Success
NCT03077412,GILD,Phase 2,Success,2022-04-08,0.0429247466403352,0.031464392342055,Success
NCT02083354,NVS,Phase 2,Success,2021-03-17,0.0206218803958076,0.0215143139337334,Success
NCT01774721,PFE,Phase 3,Success,2018-10-26,-0.0279025442343989,-0.0274378107207328,Success
NCT04960202,PFE,Phase 2/3,Success,2023-02-09,0.0184419132391404,0.0052557363351384,Success
NCT03739203,ABBV,Phase 3,Success,2022-09-21,0.0013481785348199,-0.0069414975228055,Success
NCT04413617,PFE,Phase 2,Success,2023-04-07,0.0112615426555325,0.0114913678676198,Success
NCT02865850,AKBA,Phase 3,Success,2022-07-18,0.0028212566850103,-0.013392883870864,Success
NCT01940341,GILD,Phase 3,Success,2017-03-30,0.0091466407065943,-0.0059258233809291,Success
NCT03416179,PFE,Phase 3,Success,2021-06-25,-0.0179985680001018,-0.0128756638548509,Success
